Date,Close,High,Low,Open,Volume,MA_10,MA_50,Daily_Return,Volatility,Target
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,,
2018-10-08,1723.838623046875,1760.8866961938218,1699.4439722120665,1744.66512344693,2010154,1788.91142578125,1701.879287109375,-0.011937131160530856,0.030248030425294236,1
2018-10-09,1735.6622314453125,1748.8135802735253,1703.6339638919262,1726.161682952616,1867130,1780.062158203125,1703.4192944335937,0.006858883563902962,0.02585856250115605,0
2018-10-10,1695.6685791015625,1747.4032119905214,1683.5543100897783,1742.466264755315,2749573,1768.4789184570313,1704.4498315429687,-0.023042301445049373,0.026509694420594733,0
2018-10-11,1642.85498046875,1670.2781167403937,1610.536425530603,1647.045236825475,4700256,1755.0203857421875,1704.702900390625,-0.031146179910224836,0.027429636276050582,0
2018-10-12,1591.7015380859375,1641.2373258590642,1579.0063857986852,1641.2373258590642,9373289,1732.5716186523437,1704.2805615234374,-0.03113691895569326,0.026228128094690835,1
2018-10-15,1617.58935546875,1622.6093578203484,1593.111855604001,1609.7067707665426,2638151,1713.1389404296874,1704.361865234375,0.01626424097946355,0.027672671720924812,1
2018-10-16,1628.2105712890625,1636.176112411316,1605.5584656005333,1624.6426230727875,2815425,1688.8066528320312,1704.7286157226563,0.00656607672670706,0.024053682701712174,0
2018-10-17,1600.9117431640625,1650.3645780352526,1593.1121115272424,1634.5994060982644,2779207,1669.4361938476563,1703.9469921875,-0.016766153350415425,0.02211155634539196,0
2018-10-19,1587.4697265625,1600.5797515640659,1551.6662740102072,1600.5797515640659,3428776,1656.8572265625,1703.3628466796874,-0.008396475732631914,0.018564396677481613,0
2018-10-22,1579.0064697265625,1589.793166577033,1565.6890073308523,1588.1336747538835,1778496,1640.2913818359375,1702.094169921875,-0.005331287075479363,0.01628232520646288,0
2018-10-23,1532.9835205078125,1578.1751869357852,1527.454066596964,1569.8602491753227,2752811,1621.2058715820312,1699.9697509765624,-0.029146776850584977,0.01740341225924357,1
2018-10-24,1537.015625,1558.2187077360022,1505.9177500203973,1539.9674673144934,2735913,1601.3412109375,1698.0620556640624,0.002630233422765027,0.016952552712178458,1
2018-10-25,1540.7576904296875,1560.6304084099488,1517.5174841613655,1533.2742477886368,2507233,1585.8501220703124,1696.1188427734376,0.0024346307017455437,0.017014701723492478,0
2018-10-26,1495.9403076171875,1541.5062033505155,1489.2883579627276,1541.5062033505155,2285970,1571.1586547851562,1693.2734692382812,-0.02908788519497918,0.016732554016662356,1
2018-10-29,1555.7244873046875,1561.5033270821637,1483.675548338089,1503.922396699561,2609483,1567.5609497070313,1691.3126318359375,0.03996428158468923,0.020948994276518956,1
2018-10-30,1575.514404296875,1587.654192794481,1534.1059747837323,1552.3988373556792,2404883,1563.3534545898438,1689.6305932617188,0.012720708039039685,0.02063165956444069,1
2018-10-31,1611.559326171875,1616.340414327468,1559.424617035695,1579.8378253263695,2769190,1561.688330078125,1688.6130297851562,0.02287819252981449,0.02202100661858859,0
2018-11-01,1609.56396484375,1616.714790519411,1580.9190468549205,1616.1327855170089,2769759,1562.5535522460937,1687.4734155273438,-0.0012381556767536717,0.021306746090743692,0
2018-11-02,1591.0208740234375,1625.2368449032876,1583.9947959748854,1608.2743606462611,1818635,1562.9086669921876,1685.8924169921875,-0.011520567821678651,0.021477855162010458,0
2018-11-05,1572.2296142578125,1602.579129904937,1567.1575237237719,1588.1527366029468,1713366,1562.2309814453124,1683.982060546875,-0.011810819124016159,0.021766782857506276,1
2018-11-06,1607.0277099609375,1611.0189200146685,1572.3544659343165,1574.8489468427263,1398710,1569.635400390625,1682.639873046875,0.022132960343423935,0.02017651626651226,1
2018-11-07,1614.8853759765625,1620.5810870495854,1610.6031634761657,1613.0976443695208,144530,1577.4223754882812,1681.1652685546876,0.004889564733028706,0.020160790562352017,0
2018-11-09,1587.488037109375,1631.3493382298363,1583.9958034972262,1630.559459663024,2570479,1582.09541015625,1679.011611328125,-0.01696550063227842,0.02134809645624559,1
2018-11-12,1592.185546875,1618.1697226455424,1586.9055826585632,1586.9055826585632,2552008,1591.7199340820312,1676.820810546875,0.0029590835683892536,0.018125363615878777,1
2018-11-13,1608.898681640625,1612.2662716995844,1582.3324987335272,1592.3104230555464,1418432,1597.037353515625,1674.6605834960938,0.010496976811796843,0.013984947138821134,0
2018-11-14,1563.7486572265625,1604.6997222140012,1554.8932289646725,1600.6253827577511,2422318,1595.8607788085938,1671.5508862304687,-0.02806268967044101,0.016671099211269913,0
2018-11-15,1557.262939453125,1579.0065197807878,1544.5826606607834,1549.9042405852492,1829123,1590.4311401367188,1668.138896484375,-0.004147544903373657,0.014485042266728903,1
2018-11-16,1568.69580078125,1579.671577168925,1555.1009007619334,1570.691405715435,1829729,1586.3443237304687,1665.021943359375,0.007341638356936686,0.014871440402048148,1
2018-11-19,1581.875,1585.9493390464597,1550.153599532752,1579.0063876054146,1740628,1585.429736328125,1662.59173828125,0.008401373428925218,0.014858484529403962,0
2018-11-20,1561.75341796875,1581.5013980974643,1558.3858270728285,1581.5013980974643,1190182,1584.3821166992188,1658.9957397460937,-0.012720083465033616,0.014938120290401686,0
2018-11-21,1506.66650390625,1555.7662448683716,1495.48295483901,1555.7246295853165,3840461,1574.34599609375,1654.6240844726562,-0.03527247863119598,0.016220433199936497,1
2018-11-22,1507.123779296875,1536.267569347509,1504.9618147162214,1513.3183660742127,3194219,1563.5698364257812,1650.32712890625,0.0003035013982453094,0.015930912254420584,1
2018-11-26,1535.0201416015625,1546.577921638674,1483.800161916244,1512.4866878821226,4333177,1558.323046875,1646.5125903320313,0.018509669005223994,0.01729857785378381,1
2018-11-27,1571.730712890625,1578.091658969686,1526.081695824085,1541.5890711277443,3344839,1556.2775634765626,1643.4173315429687,0.02391536781449699,0.019285452489210757,1
2018-11-28,1649.600341796875,1653.840939289787,1565.2868618466687,1570.691570798596,5313249,1560.3477294921875,1642.4519946289063,0.049543874321217096,0.025004518960913668,0
2018-11-29,1630.18505859375,1660.4929641850301,1615.2181715855725,1660.4929641850301,4035441,1566.9913696289063,1641.1365161132812,-0.011769689124807248,0.02323997592407832,1
2018-11-30,1636.5875244140625,1655.5040066599256,1629.6029568231427,1634.7166635326037,5268901,1574.923828125,1639.593134765625,0.003927447246900639,0.02304907800420186,1
2018-12-03,1648.352783203125,1654.6721136889378,1636.6287448082778,1649.683152542137,1610576,1582.8895263671875,1638.13984375,0.0071888967828193095,0.023047564951646653,1
2018-12-04,1672.009033203125,1679.118344712447,1638.8740306113993,1648.8519546942694,3270615,1591.9029296875,1637.2161010742188,0.014351448452697424,0.02321550955075972,0
2018-12-05,1668.5999755859375,1677.954279672317,1650.5149876856042,1667.9763553135122,2501539,1602.5875854492188,1636.10552734375,-0.00203889904270238,0.022503659272316442,0
2018-12-06,1656.917724609375,1677.1230654026617,1646.0251756696687,1661.3246825357055,2321216,1617.6127075195313,1634.3422802734376,-0.0070012292625499795,0.017933393155060248,1
2018-12-07,1658.99609375,1666.2301494222902,1640.5369752772126,1650.556514383363,1680420,1632.7999389648437,1631.0391040039062,0.0012543586864670608,0.017880519527142327,0
2018-12-10,1642.8653564453125,1672.133895214273,1629.7277148781577,1642.200120859368,2010786,1643.5844604492188,1627.6663916015625,-0.00972319185407211,0.01856619834971242,1
2018-12-11,1662.9871826171875,1671.3021185302734,1630.5589325561525,1638.0423748779297,2942014,1652.710107421875,1625.3773291015625,0.012248006869785666,0.017730426393953194,1
2018-12-12,1676.9561767578125,1681.2799024744902,1650.4730268659712,1663.9016675543173,2219993,1655.4456909179687,1622.5926684570313,0.008399940953628171,0.009147597444001093,0
2018-12-13,1648.51904296875,1687.6823677104614,1641.7839657139177,1682.9428952164951,3748429,1657.2790893554688,1619.3247265625,-0.01695758910291989,0.010093559519227677,1
2018-12-14,1654.464599609375,1662.1143010954922,1642.407940886251,1648.8520171003345,2473761,1659.066796875,1614.983349609375,0.003606604768069843,0.01008430831089047,1
2018-12-17,1658.247802734375,1667.06161499635,1650.5148713013027,1662.155782232395,1227921,1660.056298828125,1612.2559790039063,0.0022866630847786507,0.00987416218496931,0
2018-12-18,1652.8848876953125,1664.6505449641058,1643.3643245294413,1656.252478099343,1768742,1658.1438842773437,1611.0484887695313,-0.0032340854184876866,0.008651674037470686,0
2018-12-19,1636.75341796875,1650.3484185462644,1629.7689534343322,1650.3484185462644,2498833,1654.959228515625,1608.8902587890625,-0.009759584497777918,0.009077218001996087,0
2018-12-20,1624.7803955078125,1642.1170198174939,1618.0868302500228,1624.5725220712438,1940277,1651.7454956054687,1606.9090942382813,-0.007315104602497957,0.009097383459997341,0
2018-12-21,1576.3458251953125,1621.4127439394003,1568.654508333036,1619.749756509719,3729956,1643.48046875,1603.7227661132813,-0.02980991797193744,0.012544015438173366,1
2018-12-24,1595.2205810546875,1612.183071958691,1583.9954166844825,1584.6606522104005,1864116,1638.7159912109375,1601.7138061523438,0.011973740506488362,0.013482561692807354,0
2018-12-26,1570.857666015625,1597.964438532961,1555.1009029210163,1597.964438532961,2446614,1629.5030395507813,1600.2738598632814,-0.015272442775879247,0.012850886030139789,1
2018-12-27,1587.2799072265625,1614.511326745842,1556.6393837317264,1587.321522513131,4968201,1620.5354125976562,1600.1854272460937,0.010454315222964361,0.013113443866508229,0
2018-12-28,1576.553466796875,1596.467697738707,1574.0173707392566,1592.310229775846,2239130,1613.3388549804688,1599.3647094726562,-0.006757749771072019,0.012497019793247249,0
2018-12-31,1574.0595703125,1587.3218574367356,1568.3222420939098,1586.4903635355115,1879740,1605.2983520507812,1598.281689453125,-0.001581866100261009,0.012233390588685483,1
2019-01-01,1582.166259765625,1588.1529738310971,1567.365631241685,1576.5120619810264,1094883,1597.6901977539062,1597.9067797851562,0.005150179577711578,0.01245190659208596,1
2019-01-02,1599.2117919921875,1608.4828650723086,1579.837949173104,1583.9954174604018,2100463,1592.3228881835937,1598.14162109375,0.010773540467919895,0.013377990807954803,0
2019-01-03,1579.796142578125,1617.213352632615,1574.1004320144107,1595.636135434797,2611668,1586.6271606445312,1598.1574145507811,-0.012140761787327592,0.013527785450760802,0
2019-01-04,1560.5887451171875,1580.8355940063368,1530.7797198142066,1579.8378422851672,4280862,1580.2079956054688,1598.7095190429689,-0.01215814936070947,0.013766024550430186,1
2019-01-07,1578.0916748046875,1587.154975063778,1564.039413100301,1573.019584302106,1856423,1580.3825805664062,1599.5310400390624,0.011215593949567948,0.011042380768291593,0
2019-01-08,1574.4747314453125,1585.1594038004312,1565.9519221288635,1584.3279102085826,1691756,1578.3079956054687,1600.205380859375,-0.002291972904440165,0.01023971094855962,0
2019-01-09,1568.987060546875,1595.6364753180478,1552.1493124357805,1585.9911683051657,2414376,1578.1209350585937,1601.6663159179689,-0.0034853978846647315,0.009057823376914827,1
2019-01-10,1570.3173828125,1583.9954128375136,1556.639251286796,1571.5230080120214,3053461,1576.4246826171875,1601.958173828125,0.000847886065523884,0.00829334084831876,0
2019-01-11,1532.068603515625,1559.0505307678395,1525.7907861114588,1554.8930626857918,9209862,1571.9761962890625,1601.0892578125,-0.024357355853993012,0.011050119738798724,0
2019-01-14,1507.705810546875,1539.0946947868554,1505.0034562745589,1538.2632011646042,3615370,1565.3408203125,1599.0121875,-0.01590189428387534,0.011778203582869675,1
2019-01-15,1553.06396484375,1554.3527191711823,1503.340601259341,1505.0035886501146,7711653,1562.4305908203125,1597.8821875,0.03008422066133898,0.015902770790898316,1
2019-01-16,1555.017822265625,1559.0505460445897,1535.7687245569905,1554.8930779218042,2359280,1558.0111938476562,1597.1621264648438,0.001258066290960258,0.015345651407251035,1
2019-01-17,1578.4747314453125,1581.5578118876103,1559.3093838829232,1564.8922922681413,2625816,1557.879052734375,1597.2870288085937,0.0150846561652338,0.01588871854380112,1
2019-01-18,1583.7659912109375,1586.7240598706564,1563.2257182264113,1567.3920980724304,1683728,1560.19677734375,1596.8217944335938,0.0033521346019775855,0.015313409448415595,1
2019-01-21,1590.4736328125,1609.889001520203,1579.4327273931715,1584.8907250990817,2409803,1561.4349731445313,1596.3335595703124,0.004235247908331408,0.014980899009575678,0
2019-01-22,1584.8074951171875,1598.4315360872483,1574.891491309735,1589.1404892207918,2457093,1562.4682495117188,1596.2799487304687,-0.003562547393692328,0.015016161288189778,0
2019-01-23,1562.891845703125,1588.3067539535123,1558.2255222368624,1584.05706832742,2578169,1561.8587280273437,1595.6940747070312,-0.013828587687517158,0.015682184419295416,1
2019-01-24,1584.515625,1587.5987047470653,1562.3921120066907,1570.5582554660737,1962927,1563.2785522460938,1595.2064135742187,0.013835749003570097,0.016311077482996872,1
2019-01-25,1600.55615234375,1612.3886276839041,1584.057251280156,1584.8905270567368,2327080,1570.1273071289063,1595.9425634765626,0.010123300200179486,0.013801898822513209,1
2019-01-28,1629.05419921875,1634.8871298553388,1604.472562964554,1610.7221315037564,2769033,1582.2621459960938,1597.378388671875,0.01780509033267541,0.012309701121233271,1
2019-01-29,1652.177978515625,1657.4276579696163,1613.7639755030445,1634.8875016253467,2557626,1592.1735473632812,1599.0480322265626,0.014194604027272018,0.009910970683807049,0
2019-01-30,1651.05322265625,1657.8027384682093,1628.7630878213545,1649.5532850454724,2429575,1601.7770874023438,1600.4315966796876,-0.0006807716081445037,0.010037626191796257,1
2019-01-31,1678.3009033203125,1683.0089323123411,1654.0525959351392,1655.7191476690787,4094319,1611.7597045898438,1602.7625463867187,0.016503211580439547,0.010188294715150772,1
2019-02-01,1691.508544921875,1695.5083103368443,1664.9687251454984,1674.4680917173553,3064163,1622.5339599609374,1606.4593872070313,0.00786965053491473,0.010148175175769474,1
2019-02-04,1708.4237060546875,1712.7566995200493,1685.7169405431691,1691.5081666560598,1590764,1634.3289672851563,1610.4853857421874,0.010000044743252445,0.01015952451023706,0
2019-02-05,1703.67431640625,1712.38200904964,1689.883559295703,1708.2156294655774,1111404,1646.2156494140625,1613.8584692382813,-0.0027799834617171504,0.010069807424592958,1
2019-02-06,1728.880615234375,1738.921628990539,1700.7575578838043,1708.131926416073,1789812,1662.8145263671875,1617.0014672851562,0.014795256690431025,0.006993617733343068,1
2019-02-07,1735.6304931640625,1748.1713376090158,1722.3814861834144,1728.8393751616059,1339945,1677.9260131835938,1618.7220703125,0.0039041897226503863,0.007118739308661562,0
2019-02-08,1717.7147216796875,1741.1298539739591,1709.0487343864993,1729.0473543890716,1684474,1689.6418701171874,1620.4726635742188,-0.010322341970216531,0.00938953131113394,1
2019-02-11,1721.464599609375,1746.5462855619394,1707.298909316172,1716.5483531763334,1778730,1698.88291015625,1622.170205078125,0.0021830621129104166,0.008689361475254991,0
2019-02-12,1709.5489501953125,1724.8811456711214,1681.5507980503976,1724.8811456711214,2422903,1704.6200073242187,1623.3941284179687,-0.006921809148306868,0.008922359802991213,0
2019-02-14,1703.7158203125,1729.0474270573752,1694.0915450627185,1716.5899935111759,1724085,1709.8862670898438,1624.0282641601561,-0.003412087078375925,0.009103009807316298,0
2019-02-15,1691.2998046875,1709.88189521066,1675.6758838613791,1707.3820678784807,1930065,1711.1861572265625,1624.4822607421875,-0.007287609516194227,0.008308877315459599,0
2019-02-18,1641.8033447265625,1701.5074742510305,1635.4287645311665,1697.8827448750562,2942184,1706.2156372070312,1624.1799731445312,-0.029265337714671436,0.01219103286857215,0
2019-02-19,1587.2239990234375,1642.386823750801,1576.5580266547518,1641.553547838193,4408554,1694.0956665039062,1622.74453125,-0.03324353423839266,0.014544902340335166,1
